Titles,Multiplayer,Year Released,Developers,Publishers,Region Released,Plot,Gameplay
007: Everything or Nothing|James Bond 007: Everything or NothingJP,Yes,"November 17, 2003NA , PAL 2004JP",Griptonite Games,"EA GamesNA, PAL / Electronic ArtsJP","NA, PAL, JP","The game opens in Tajikistan, where MI6 agent James Bond infiltrates a stronghold where an organization sells a stolen Soviet suitcase bomb.  Bond triggers a firefight between the two factions making the exchange, using the confusion to steal the device and escape.
The disappearance of Oxford scientist Dr. Katya Nadanova (Heidi Klum), who oversees a top-secret nanotechnology humanitarian project, leads 007 to a weapons research facility in the Sahara, where he is ordered to rescue Nadanova and prevent the theft of the nanobot prototypes. Destroying the facility, Bond follows the kidnappers onto an armored train where he encounters and dispatches Jaws (using the likeness of Richard Kiel). Bond discovers Nadanova and rescues her before pursuing the terrorist via helicopter through the Valley of the Kings. Bond defeats the terrorist and takes Nadanova to her safehouse, where it is revealed that she is working in conjunction with Nikolai Diavolo (Willem Dafoe), a former KGB agent whose mentor and friend was Max Zorin (the primary antagonist of the 1985 film A View to a Kill). The two intend to re-purpose the nanobots for far sinister purposes than their original intention of repairing nuclear reactors. 
Upon returning to MI6, M (Judi Dench) informs Bond of the disappearance of another 00 agent, Jack Mason, alias 003, who was last seen investigating a platinum mine in Peru. Bond is sent there to track down Mason's last known contact Serena St. Germaine (Shannon Elizabeth), an American geologist who may have a clue to his whereabouts. Serena takes Bond to a mining complex where he discovers Mason is being tortured by Diavolo. Before succumbing to his wounds, Mason informs Bond that Diavolo intends to move his operations to New Orleans. Bond learns of Nadanova's ties with Diavolo when she captures Serena and throws her out of a helicopter. Bond dives off a cliff to rescue her through the use of Q's (John Cleese) rappel gadget and the two escape Diavolo's mercenaries via tank. 
Searching New Orleans, Bond learns that Diavolo has enlisted a war criminal named Arkady Yayakov to help re-purpose the nanobots. Bond infiltrates a factory owned by Diavolo and uncovers a lead pointing to a local nightclub owned by Yayakov, where he crosses paths with Mya Starling (Mýa), an NSA field operative who is also investigating Diavolo. However, Starling's cover is blown and she is held by Yayakov in a 19th century graveyard. Bond rescues Starling and dispatches of Yayakov's remaining men. 
007 tracks Diavolo's operations to an abandoned plantation in Louisiana, where he discovers he has altered Nadanova's nanobots to eat through all metals but platinum, disintegrating everything they come in contact with. Destroying the laboratory and killing Yayakov, Bond finds a tanker of nanobots which is being driven by Jaws to the levees of New Orleans with the intent of flooding the city. Bond destroys the truck before it can reach the levees, and returns to Peru to further investigate Diavolo's platinum mines.
After winning a rally race hosted by Diavolo, Bond finds he has captured Serena, allowing Diavolo to escape to the mines. After saving Serena, Bond reaches the mines, but is captured by Nadanova. Diavolo explains that he intends to use the nanobots to destroy the Kremlin and use his army of tanks, armored with platinum to make them immune to the nanobots, to control Russia, and then overthrow Europe. Tied in the path of a mining drill, Bond escapes his shackles and flees the mines in a helicopter piloted by Serena.
Following Diavolo to Moscow, Bond steals one of Diavolo's platinum tanks and uses it to prevent the release of the nanobots in Red Square and heads for a missile silo hidden under the Kremlin. Bond kills Jaws and deactivates the nanotech missiles. Diavolo and Nadanova then pursue Bond with a soviet fighter jet. Bond destroys the jet and Nadanova is killed, although Diavolo ejects just in time. Diavolo reaches a control tower, reactivating one of the missiles and targeting it at London. Bond destroys the control tower, where Diavolo launches the missile before falling to his death into the silo. Destroying the missile as it launches, Bond prevents the catastrophe and reunites with Serena outside the Kremlin.
","The gameplay is a mix of third-person shooting/action sequences and vehicle sequences. In third-person missions, Bond can typically use cover, engage in hand-to-hand combat, use gadgets and perform some context-sensitive actions, while driving sequences primarily involve racing to a specific objective.
"
007: Nightfire,Yes (VS),2003,JV Games Inc.,Electronic Arts,"NA, PAL","British MI6 agent James Bond works alongside French Intelligence operative Dominique Paradis to prevent the use of a stolen nuclear weapon within the city of Paris by a terrorist group during New Year's Eve. The pair manage to thwart the terrorists and prevent the device from being detonated before Bond and Dominique spend the evening celebrating the new year. Shortly after returning, Bond's boss M reveals news that a missile guidance chip, intended for the Space Defense Platform (SDP) - a new militarized space station built by the United States - has been stolen. MI6 suspects the theft is linked to Phoenix International, a company owned by industrialist Raphael Drake - and that the head of Drake's Asian division, Alexander Mayhew, is due to bring the chip to him during a party at his castle in Austria.
M sends Bond to recover the chip during the exchange and investigate Drake's motive for its acquisition. Infiltrating the party, Bond meets with CIA agent Zoe Nightshade, his contact sent to assist in the chip's recovery, but is surprised to find Dominique within the castle, learning that she is working undercover as Drake's mistress. After reaching the meeting room where Drake and Mayhew intend to meet, Bond overhears the men discussing a project codenamed ""Nightfire"" before discovering that Zoe had been captured. Bond recovers the chip before going after and rescuing Zoe, whereupon the pair make their way down the mountain for a rendezvous with Q, dealing with Drake's men and his Head of Security, Armitage Rook. Following the incident, Mayhew contacts MI6 to offer information on Drake's operations in exchange for protection.
Bond is sent to Japan to extract Mayhew at his Japanese estate, but shortly after being introduced to his bodyguard Kiko, Drake's men attack the building. While Mayhew is killed, Bond finds important information that leads him to Phoenix's Tokyo offices and a nuclear power plant being decommissioned. After gathering evidence, Kiko turns on Bond and brings him to Drake, who exposes Dominique as a spy for helping Bond escape his security teams and has her executed. Before he is killed himself, Bond breaks free and escapes to the ground floor, where he is rescued by Australian Intelligence agent Alura McCall. Upon leaving Tokyo, Bond finds himself sent to an island in the South Pacific alongside Alura, learning that Drake owns it and using a jamming signal to conceal what he has stationed there.
Sent ahead of a joint taskforce of UN, EU and NATO forces, Bond and Alura deal with the island's defenses, while eliminating Rook and Kiko. Discovering that Drake built a launch facility on the island, Bond determines that he plans to capture the SDP and use its weapons to dominate the world. While Alura remains behind, Bond pursues after Drake in one of his space shuttles. Reaching the station, he proceeds to sabotage it so that it destroys itself, before killing Drake as it begins to break apart. Bond swiftly escapes in an escape pod moments before the station is destroyed and returns to the planet. Upon his return, Bond reunites with Alura and spends a romantic evening to celebrate another successful mission.
","Nightfire features two game modes for use - a single-player mode featuring a variety of missions and focused on the game's story, and a multiplayer mode where players can engage with other players, as well as AI bots. The game operates from a first-person perspective and features a variety of weapons all based on real-life models, but, much like previous games involving James Bond, have alternate names. The game features a similar arrangement to monitoring health as with GoldenEye 007, in that players have a health meter that decrease when they take damage, with the player's character killed when its fully depleted, though armor can be acquired to absorb the damage during gameplay.
In the single-player mode, players must complete a set of objectives, which requires navigating around each mission's level dealing with hostiles and making use of gadgets. Completing a level is done by completing all objectives and reaching the level's exit goal. Each level has a number of unique tokens, referred to as ""007 tokens"", which unlock special rewards in the game, and are acquired by completing certain actions in a level. At times, the player also engages in driving sections during certain levels - these stages function in a similar style to those used in the Spy Hunter series of video games, in which the player uses offensive weapons and gadgets to deal with enemies, while following a linear A-to-B route from the start to the finish of the level. Completing a level allows the player to receive a score that denotes how well they performed.
Multiplayer mode focuses on players battling with each other and AI bots across a variety of stages - while some stages are based on levels from the game, others are based on settings and fictional locations based from the James Bond film franchise, including Fort Knox, from Goldfinger (1964), and Atlantis from The Spy Who Loved Me (1977). Players can choose which characters to play as, including a selection taken from the film franchise such as Jaws, Baron Samedi, Max Zorin, Auric Goldfinger, and Renard. Players can customize settings before a match, such as length of play, conditions for winning and so forth, as well as the setting for any AI bots used in the match - alongside players, bots can be used (four for PlayStation 2, and six for GameCube and Xbox), which can be customized with different reaction times, speed and health.
Computer versions of the game function similar to the console versions, though with some differences:
"
3-in-1 Sports Pack: Paintball Splat! / Dodgeball Dodge This! / Big Alley Bowling|Majesco's Sport PackPAL,,2005NA 2006PAL,Skyworks Technologies,Majesco Entertainment,"NA, PAL",NaN,NaN
A Sound of Thunder,"Yes (COOP, SPM)",2004PAL 2005NA,Möbius Entertainment,"BAM! Entertainment, Inc. / Franchise Interactive","NA, PAL","The game mostly follows the plot of the film and retains some of the characters. Travis Ryer is a guide and biologist for Time Safari Inc. (TSI), a company which provides time-travel hunting safaris for the rich. After a time tourist alters the course of events in the late Cretaceous, the future begins to change as ""time waves"" bring further consequences due to the butterfly's absence from the course of history. Dinosaur-like creatures soon run rampant, and the world becomes progressively overgrown with tropical vegetation.
Travis learns from Dr. Sonia Rand, inventor of the time machine, that a butterfly was brought back from the past on the last safari. He tries going back to reset the timeline, but is turned back by a ""cleanup crew"" from TSI. The crew disappears, however, due to the changes in history. Ryer gets in contact with one of the tourists, Ted Eckles (spelled Eckels in the film), who informs him it was his friend Christian Middleton who was responsible. On the way to Middleton's place, Eckles is killed as a time wave arrives. Middleton is discovered dead, but Ryer manages to retrieve the butterfly, get back to TSI and enter the time machine. Right afterwards, a time wave arrives and gets rid of the vegetation and animals, implying the timeline was set right.
","The game is an overhead shooter, played from an isometric perspective. The objective is to complete each mission by killing mutants, solving push-the-crate puzzles and completing the occasional driving stage until the end of the level is reached. Along the way, the player can earn points for collecting items, killing enemies, completing the level within a certain time and exploring all the rooms. The player can resume progress via a six-letter password-based save, which does not, however, retain the player's scores.
The game provides an array of collectible weapons, which automatically lock onto enemies. One of them, the Time Freeze Disruptor, can slow down the player's surroundings while allowing the player to move at regular speed (similar to bullet time). Most weapons rely on collectible ammo, but the electric prod only needs to be charged by holding down the fire button before use.
The game can be played alone or in co-op via Link Cable. The Link Cable also allows for a single-cartridge deathmatch with up to four players in a special arena.
"
Ace Combat Advance,No,2005NA 2006PAL,HumanSoft,Namco,"NA, PAL","In the year 2032, globalization has blurred the borders between countries, and multinational corporations have become worldwide economic superpowers. General Resources Ltd., one of these superpowers, uses state of the art military equipment and their Air Strike Force (A.S.F.) to destroy anybody who could potentially pose a threat to their superiority.
A new international military is created to fight back, spearheaded by an elite fighter squadron called the United Air Defense (U.A.D.). As the newest pilot, you must help your squadron destroy the ASF and bring General Resources Ltd. to their knees.
","The player becomes a key pilot in the UAD, and is sent on 12 missions to stop GR's destruction. These missions are very similar to those that one encounters in the rest of the Ace Combat series, but there are a few unique missions that require new tactics.
"
Ace Lightning,No,2002,Tiertex Design Studios,BBC Multimedia,PAL,NaN,NaN
Action Man: Robot Atak,No,2004,Magic Pockets,Atari,PAL,"The world's leading toxins specialist, Professor Moran, is kidnapped by a villain named No-Face while in disguise as Action Man in order to frame him for the kidnapping. No-Face intends to force Moran to make him a mind control gas. Action Man and Action Force become wanted criminals and their base becomes surrounded by the authorities. No-Face takes Moran to Island X, where he reveals that he has constructed an army of 'X-Robots' which begin terrorising cities across the world. No Face has also began rebuilding Dr. X and brings him back to life as he was previously defeated by Action Man. Action Force escape their base with some of their equipment and vehicles and go on the run whilst battling X-Robots along the way. In one instance, Action Man places a tracker on an X-tank and tracks the robot's location to Island X. Action Force make their way there and later find out about Dr. X and No Face's plan to turn the world's population into their slaves using Moran's mind control gas. After several confrontations and battles, the evil plan is thwarted and the base is destroyed thanks to Flynt redirecting the missiles containing the gas to their launch point. Action Force leave with Moran, though they do not realise that Dr. X and No-Face have survived the explosion.
",NaN
Activision Anthology,Yes (SPM),2003,Aspyr,Aspyr,,NaN,NaN
Advance Guardian Heroes,Yes (COOP),2004,Treasure Co. Ltd,Ubisoft,"NA, PAL, JP","The story follows the events of Guardian Heroes. After the Undead Hero was returned to his rest, the heroes were given the option of becoming the Sky Spirit's perfect warriors. The group was divided, with Nicole, Serena, and Valgar joining the Sky Spirit, and Han and Genjiro refusing. Randy escaped back to earth on his own, leaving Han and Genjiro to fight a losing battle against their former comrades.
Years later, Zur returns. He resurrects Kanon and uses the power of the Guardian Heroes to take over the world. The few remaining resistance forces call upon the power of the Undead Hero once again, with one young soldier giving up his body to serve as its vessel.
Throughout the game, the character fights the previous heroes and earns their power. Ultimately, it is revealed this is another attempt by the heavens to create the ultimate warrior. In the final battle against the ruler of the heavens, all heroes gather to defeat it and subsequently leave for the Other World.
","Advance Guardian Heroes is a side-scrolling beat 'em up[1] in which the playable characters can perform various attacks.[2] Physical moves include countering and mid-air dashes. Magic attacks, which drain the MP meter, include element spells and protective barriers. It is also possible to go into ""Hyper Mode"", a faster, more powerful version of the playable character.
The game is separated in various stages and sub-stages with their own boss-fights, enemies, and puzzles. Gameplay modes include ""Story"" for up to two players, ""Versus"" and ""Training"".
Unlike its predecessor, Advance Guardian Heroes allows players to move smoothly towards and away from the screen, as opposed to switching between 3 planes. Some platforming elements have been added to break up the combat, and two new jumping manoeuvres, the air-dash and the homing jump, have been implemented. Some sequences in which these moves are used seem to be references to various 8-bit and arcade games, and some wire-fu films.
A large part of the game relies on a revised ""barrier spell"". All playable characters (and enemies on higher difficulty settings) have the barrier spell available, and at the cost of magic-over-time, it renders a character invincible. Properly timed use of the barrier spell allows a player to reflect projectiles and magic (in a visual effect reminiscent of Mischief Makers' Marina Liteyears throwing a laser or lightning bolt back at its source), or stun enemies who attack in melee.
A green gauge is used to represent the character's anger. At any point that the player's character is rendered immobile or out of the player's control, the player can rapidly press buttons to increase the anger gauge. Points allocated to the character's mobility grant bonuses to how quickly this gauge increases. When it flashes, the character can press A+B simultaneously to activate ""Hyper Mode"" or ""Anger Mode"", starting a timer in which the anger gauge decreases, the magic gauge increases, the character is given a burst of speed, and the player is returned control of the character.
If the player's character dies during the course of the game, a sinister figure appears and offers to give the character invincibility in exchange for the character's soul. If the player refuses, the princess appears and reassures the player that there will be another chance, before the game transitions to a game over screen. If the player agrees to the sinister figure's conditions, then the character is brought back to life in a state referred to as ""Devil Mode"" that is unable to take damage (although still able to be knocked down and flung around) for the next six minutes, before the sinister figure reappears and destroys the character, resulting in a game over screen. Regardless of the player's choice, the game may be continued from the last checkpoint reached before going into ""Devil Mode"".
Also, unlike the first game, the player is allowed to use almost every unlocked character in the main story as well as in the other modes.
Throughout the game, defeated enemies will drop crystals of varying sizes and colour, that act as the experience points. Between stages, players can allocate these crystals towards one or more of their character's attributes: Vitality, Mind, Attack, Defence, Magical Attack, Magical Defence, and Mobility. At certain points, the player has to fight the heroes of the previous game, and upon defeating them, they will give up their souls, which will increase one of attributes by 10. Increasing an attribute with soul crystals will raise the character's level, no matter how high that attribute was to begin with. The higher the character's level, the more soul crystals will be needed to reach the next level, so players have to allocate their points carefully. Anything left over after allocation, can be donated towards unlocking further playable characters.
"
Advance Wars,Yes (SPM),2001,Intelligent Systems,Nintendo,"NA, PAL","The story of the Advance Wars begins in the ""Field Training"" tutorial mode, with the nation of Orange Star in a war against the neighboring nation of Blue Moon, with Olaf as the Blue Moon Army commanding officer (CO). Olaf suddenly ordered an invasion of the Orange Star nation and is in battle with the Orange Star Army. The campaign continues the story that started in the tutorial. Nell, the de facto leader of the Orange Star COs, gives the player the duty of a tactical advisor for the Orange Star Army.[2]
The player follows the war effort through all four countries, with its own COs, over the course of the game. Starting with having only one choice of a CO to advise, Andy, the player will have a choice of two more Orange Star COs, Max and Sami, to advise as the story progresses, each with their own advantages and disadvantages. Depending on which CO is chosen by the player to advise, there are times when a mission is split into a choice of two or three, where the maps and dialog could be different. After completing that mission, the story paths could split up, depending on which CO was chosen in that previous mission, with the story differing from the other path, eventually leading back to the main path.
After winning a battle against Green Earth, Andy gets mysteriously accused by Green Earth's CO, Eagle, of committing a treacherous act of aggression against Green Earth.[3] After defeating the Blue Moon troops that invaded the Orange Star country, the Orange Star Army then invade the Blue Moon country, defeating their troops. The Blue Moon COs, Olaf and Grit, are revealed to be COs whom both used to work for the Orange Star Army, but switched to Blue Moon. When the Orange Star Army's intention was to just pass through the other two countries, Green Earth and Yellow Comet, the countries' COs like Kanbei of Yellow Comet assume a threat of an invasion and declare battles against the Orange Star Army in their land.[4]
Later on, Green Earth CO Drake tells Eagle that the Orange Star Army didn't attack Green Earth, saying that ""This entire conflict has been orchestrated from the beginning."" Meanwhile, Yellow Comet CO Sonja and Grit try to discover the person who is really behind the attacks. When Eagle meets Andy again, Eagle again accuses Andy of attacking Green Earth, to which the Orange Star COs eventually convince Eagle that it wasn't Andy who attacked Green Earth. This explains why the three nations have been declaring battles against Orange Star, as they thought Andy attacked them first.[5]
When Eagle meets Sonja, Sonja also tells Eagle that Andy wasn't behind the attacks, saying it was someone else, and goes with her to see what she discovered. It is revealed that the enigmatic Black Hole Army, under the command of Sturm, is the true enemy. Using a CO doppelganger clone of Andy, Sturm stirred up war among the four countries in order to confuse, weaken, and eventually conquer them.[6] Once this is revealed, the four countries unite to drive Black Hole out of their land, the Cosmo Land, with COs automatically chosen depending on the paths the player took during the game.
","The objective is to defeat the enemy army. There are two ways to defeat an opponent: destroy every one of the opponent's units on the map or capture the opponent's headquarters.[1] However, some maps have specific objectives, such as capturing a certain number of cities to claim victory.[1] The available modes of play include ""Field Training"" which is a tutorial mode,[1] a campaign mode[1] which carries the game's storyline, the ""War Room"" which is a collection of maps on which the player strives for high scores, as well as multiplayer modes and a map design mode. The ""Campaign"" and ""War Room"" modes both help to rank the player up (from Rank #100 to Rank #1) and to earn coins to unlock COs and maps in the ""Battle Maps"" shop.[1] The modes also gives the player a rank for effort after winning a battle on that map, which assesses by the speed, power, and technique in that battle, speed is the number of days spent trying to win the battle, power being how many enemy units you defeated, and technique is the number of your units that survived (in percentage).
The battles of Advance Wars are turn-based. Two to four armies, each headed by a commanding officer, take turns building and commanding units on grid-based maps, while attacking enemy units, moving positions, holding ground, or capturing enemy/neutral properties (cities, ports, airports, bases, or HQ).[1]
 All units are limited in the types of units they can attack.[1] What dictates a unit's ability to attack different targets are its primary and secondary weapons. For example, the Mech unit has a bazooka that can only be fired at land vehicles, but are more powerful for that purpose than their secondary weapons, machine guns, which Mechs can use against other Mechs, infantry, and helicopters.
Units that can attack, do so either directly (can attack adjacent to another unit where standing or moved, but be counter-attacked by the enemy unit), or in-directly (must remain still to attack, and have an enemy in firing range). The amount of damage done by a unit to an enemy unit in combat, comes down to a number of factors: the number of hit points the attacker has, whether they can use their main weapon (if not, they either cannot, or will use their secondary weapon instead), the type of unit the attacker and the defender are, and the terrain the enemy unit is on; by contrast, if the enemy unit is directly attacked, the same factors determine the damage done when they counter-attack the attacking unit. The majority of units have main weapons with a limited supply of ammunition, with the amount of ammo depending on the type of unit. Units with secondary weapons will resort to these when their primary weapon's ammunition runs out until they are resupplied.
The terrain on a map affects unit movement, vision, and the defense attribute of units stationed in the terrain.[1] The different types of terrain include: roads, plains, woods, bases, HQs (Headquarters), ports, cities, airports, the sea, reefs, shoals, rivers, and mountains. All units are affected by terrain, except air units, which gain neither an advantage or a disadvantage as a result. Weather conditions, when active, can affect the vision and movement of ground units, while fog of war, when active, can reduce a player's vision, making them depend on individual units' lines of sight, which varies from unit to unit; infantry can expand the vision when in mountains, while woods and reefs can't be seen into unless a unit is adjacent to it.
There are 18 different types of military units in Advance Wars. Each unit has a set amount of attack power, vision range in Fog of war, movement range and type, and fuel supply, and some units have two weapons which can be used against different types of enemy units. There are both direct and indirect attack units, as well as transport units. All the units are either infantry, vehicles, ships or air units. Units have specific strengths and weaknesses. One rule of thumb that units have to adhere to is their fuel supply; ground units who run out cannot move, while air and naval units who run out are destroyed as they consume fuel even when stationary. Submarines consume more fuel than usual when submerged.[1]
In Multiplayer mode, players can compete against the AI or against other human players. Multiplayer matches feature a variety of settings that can be changed pre-battle. Multiplayer comes in two forms: Versus mode and Link mode. In Versus mode, only one GBA system is used, which every participant in the game uses. One person will take their turn, then pass the system to the next person. Link mode is the same game as Versus mode gameplay-wise, but multiple consoles are used, one for each person.[1] It can be played with just one game pak or with one game pak per player.
Armies are led by Commanding Officers who control units. Most COs provide units with innate special advantages and disadvantages, such as extra firepower, greater strength, or a shorter firing range, with some COs being better with some units than others (i.e. being better with air units, than naval units). COs also have a Power Meter which fills up by defeating enemy units or when on the receiving end of a brutal offensive attack. When the meter is full, a CO can unleash their CO Power, which gives a temporary positive effect to friendly units and/or a negative effect to enemy units.[1] For example, Nell gives a Critical Strike bonus and Olaf makes it snow, disadvantaging his opponent.
"
